drg,title,relative_weight,gmlos,sso
1,Heart transplant or implant of heart assist system with MCC,0.0,0.0,0.0
2,Heart transplant or implant of heart assist system without MCC,0.0,0.0,0.0
3,"ECMO or tracheostomy with MV >96 hours or principal diagnosis except face, mouth and neck with major O.R. procedures",3.6814,56.2,46.8
4,"Tracheostomy with MV >96 hours or principal diagnosis except face, mouth and neck without major O.R. procedures",2.7971,43.5,36.3
5,Liver transplant with MCC or intestinal transplant,0.0,0.0,0.0
6,Liver transplant without MCC,0.0,0.0,0.0
7,Lung transplant,0.0,0.0,0.0
8,Simultaneous pancreas and kidney transplant,0.0,0.0,0.0
10,Pancreas transplant,0.0,0.0,0.0
11,"Tracheostomy for face, mouth and neck diagnoses or laryngectomy with MCC",0.6374,19.3,16.1
12,"Tracheostomy for face, mouth and neck diagnoses or laryngectomy with CC",0.6374,19.3,16.1
13,"Tracheostomy for face, mouth and neck diagnoses or laryngectomy without CC/MCC",0.6374,19.3,16.1
14,Allogeneic bone marrow transplant,0.5193,16.9,14.1
16,Autologous bone marrow transplant with CC/MCC,0.5193,16.9,14.1
17,Autologous bone marrow transplant without CC/MCC,0.5193,16.9,14.1
18,Chimeric antigen receptor (CAR) T-cell and other immunotherapies,0.5193,16.9,14.1
19,Simultaneous pancreas and kidney transplant with hemodialysis,0.0,0.0,0.0
20,Intracranial vascular procedures with principal diagnosis hemorrhage with MCC,0.9242,24.9,20.8
21,Intracranial vascular procedures with principal diagnosis hemorrhage with CC,0.9242,24.9,20.8
22,Intracranial vascular procedures with principal diagnosis hemorrhage without CC/MCC,0.9242,24.9,20.8
23,Craniotomy with major device implant or acute complex CNS principal diagnosis with MCC or chemotherapy implant or epilepsy with neurostimulator,0.6374,19.3,16.1
24,Craniotomy with major device implant or acute complex CNS principal diagnosis without MCC,0.6374,19.3,16.1
25,Craniotomy and endovascular intracranial procedures with MCC,1.7482,36.8,30.7
26,Craniotomy and endovascular intracranial procedures with CC,0.6374,19.3,16.1
27,Craniotomy and endovascular intracranial procedures without CC/MCC,0.6374,19.3,16.1
28,Spinal procedures with MCC,1.7482,36.8,30.7
29,Spinal procedures with CC or spinal neurostimulators,0.9227,24.8,20.7
30,Spinal procedures without CC/MCC,0.9227,24.8,20.7
31,Ventricular shunt procedures with MCC,0.8548,23.6,19.7
32,Ventricular shunt procedures with CC,0.8548,23.6,19.7
33,Ventricular shunt procedures without CC/MCC,0.8548,23.6,19.7
34,Carotid artery stent procedures with MCC,1.7482,36.8,30.7
35,Carotid artery stent procedures with CC,1.7482,36.8,30.7
36,Carotid artery stent procedures without CC/MCC,1.7482,36.8,30.7
37,Extracranial procedures with MCC,1.7482,36.8,30.7
38,Extracranial procedures with CC,1.7482,36.8,30.7
39,Extracranial procedures without CC/MCC,1.7482,36.8,30.7
40,"Peripheral, cranial nerve and other nervous system procedures with MCC",1.3933,34.6,29.0
41,"Peripheral, cranial nerve and other nervous system procedures with CC or peripheral neurostimulator",0.6374,19.3,16.1
42,"Peripheral, cranial nerve and other nervous system procedures without CC/MCC",0.6374,19.3,16.1
52,Spinal disorders and injuries with CC/MCC,0.983,33.0,27.5
53,Spinal disorders and injuries without CC/MCC,0.983,33.0,27.5
54,Nervous system neoplasms with MCC,1.0152,25.2,21.0
55,Nervous system neoplasms without MCC,0.6374,19.3,16.1
56,Degenerative nervous system disorders with MCC,0.8429,24.0,20.0
57,Degenerative nervous system disorders without MCC,0.6677,22.5,18.8
58,Multiple sclerosis and cerebellar ataxia with MCC,0.6374,19.3,16.1
59,Multiple sclerosis and cerebellar ataxia with CC,0.6374,19.3,16.1
60,Multiple sclerosis and cerebellar ataxia without CC/MCC,0.6374,19.3,16.1
61,"Ischemic stroke, precerebral occlusion or transient ischemia with thrombolytic agent with MCC",0.8732,23.4,19.5
62,"Ischemic stroke, precerebral occlusion or transient ischemia with thrombolytic agent with CC",0.7303,20.1,16.8
63,"Ischemic stroke, precerebral occlusion or transient ischemia with thrombolytic agent without CC/MCC",0.6374,19.3,16.1
64,Intracranial hemorrhage or cerebral infarction with MCC,0.9242,24.9,20.8
65,Intracranial hemorrhage or cerebral infarction with CC or tPA in 24 hours,0.5193,16.9,14.1
66,Intracranial hemorrhage or cerebral infarction without CC/MCC,0.5193,16.9,14.1
67,Nonspecific CVA and precerebral occlusion without infarction with MCC,0.6374,19.3,16.1
68,Nonspecific CVA and precerebral occlusion without infarction without MCC,0.6374,19.3,16.1
69,Transient ischemia without thrombolytic,0.5193,16.9,14.1
70,Nonspecific cerebrovascular disorders with MCC,0.8732,23.4,19.5
71,Nonspecific cerebrovascular disorders with CC,0.7303,20.1,16.8
72,Nonspecific cerebrovascular disorders without CC/MCC,0.6374,19.3,16.1
73,Cranial and peripheral nerve disorders with MCC,0.9227,24.8,20.7
74,Cranial and peripheral nerve disorders without MCC,0.9227,24.8,20.7
75,Viral meningitis with CC/MCC,0.6374,19.3,16.1
76,Viral meningitis without CC/MCC,0.6374,19.3,16.1
77,Hypertensive encephalopathy with MCC,0.6374,19.3,16.1
78,Hypertensive encephalopathy with CC,0.6374,19.3,16.1
79,Hypertensive encephalopathy without CC/MCC,0.6374,19.3,16.1
80,Nontraumatic stupor and coma with MCC,1.7482,36.8,30.7
81,Nontraumatic stupor and coma without MCC,0.5193,16.9,14.1
82,Traumatic stupor and coma >1 hour with MCC,1.0269,28.9,24.1
83,Traumatic stupor and coma >1 hour with CC,0.753,23.6,19.7
84,Traumatic stupor and coma >1 hour without CC/MCC,0.5193,16.9,14.1
85,Traumatic stupor and coma <1 hour with MCC,1.0256,25.7,21.4
86,Traumatic stupor and coma <1 hour with CC,0.6374,19.3,16.1
87,Traumatic stupor and coma <1 hour without CC/MCC,0.6374,19.3,16.1
88,Concussion with MCC,1.7482,36.8,30.7
89,Concussion with CC,0.6374,19.3,16.1
90,Concussion without CC/MCC,0.6374,19.3,16.1
91,Other disorders of nervous system with MCC,0.8704,23.3,19.4
92,Other disorders of nervous system with CC,0.8704,23.3,19.4
93,Other disorders of nervous system without CC/MCC,0.8704,23.3,19.4
94,Bacterial and tuberculous infections of nervous system with MCC,1.0664,27.2,22.7
95,Bacterial and tuberculous infections of nervous system with CC,0.7534,20.5,17.1
96,Bacterial and tuberculous infections of nervous system without CC/MCC,0.5193,16.9,14.1
97,Non-bacterial infection of nervous system except viral meningitis with MCC,0.9601,21.9,18.3
98,Non-bacterial infection of nervous system except viral meningitis with CC,0.8548,23.6,19.7
99,Non-bacterial infection of nervous system except viral meningitis without CC/MCC,0.8548,23.6,19.7
100,Seizures with MCC,0.7234,21.5,17.9
101,Seizures without MCC,0.6374,19.3,16.1
102,Headaches with MCC,0.6374,19.3,16.1
103,Headaches without MCC,0.6374,19.3,16.1
113,Orbital procedures with CC/MCC,0.6374,19.3,16.1
114,Orbital procedures without CC/MCC,0.6374,19.3,16.1
115,Extraocular procedures except orbit,0.6374,19.3,16.1
116,Intraocular procedures with CC/MCC,0.6374,19.3,16.1
117,Intraocular procedures without CC/MCC,0.6374,19.3,16.1
121,Acute major eye infections with CC/MCC,1.0152,25.2,21.0
122,Acute major eye infections without CC/MCC,0.6374,19.3,16.1
123,Neurological eye disorders,0.6374,19.3,16.1
124,Other disorders of the eye with MCC,0.6374,19.3,16.1
125,Other disorders of the eye without MCC,0.6374,19.3,16.1
135,Sinus and mastoid procedures with CC/MCC,0.6374,19.3,16.1
136,Sinus and mastoid procedures without CC/MCC,0.6374,19.3,16.1
137,Mouth procedures with CC/MCC,0.6374,19.3,16.1
138,Mouth procedures without CC/MCC,0.6374,19.3,16.1
139,Salivary gland procedures,0.5193,16.9,14.1
140,Major head and neck procedures with MCC,0.5193,16.9,14.1
141,Major head and neck procedures with CC,0.5193,16.9,14.1
142,Major head and neck procedures without CC/MCC,0.5193,16.9,14.1
143,"Other ear, nose, mouth and throat O.R. procedures with MCC",0.6374,19.3,16.1
144,"Other ear, nose, mouth and throat O.R. procedures with CC",0.6374,19.3,16.1
145,"Other ear, nose, mouth and throat O.R. procedures without CC/MCC",0.6374,19.3,16.1
146,"Ear, nose, mouth and throat malignancy with MCC",0.8548,23.6,19.7
147,"Ear, nose, mouth and throat malignancy with CC",0.6374,19.3,16.1
148,"Ear, nose, mouth and throat malignancy without CC/MCC",0.5193,16.9,14.1
149,Dysequilibrium,0.5193,16.9,14.1
150,Epistaxis with MCC,0.8548,23.6,19.7
151,Epistaxis without MCC,0.8548,23.6,19.7
152,Otitis media and URI with MCC,0.8548,23.6,19.7
153,Otitis media and URI without MCC,0.6374,19.3,16.1
154,"Other ear, nose, mouth and throat diagnoses with MCC",1.7482,36.8,30.7
155,"Other ear, nose, mouth and throat diagnoses with CC",0.6374,19.3,16.1
156,"Other ear, nose, mouth and throat diagnoses without CC/MCC",0.6374,19.3,16.1
157,Dental and oral diseases with MCC,1.0152,25.2,21.0
158,Dental and oral diseases with CC,0.8548,23.6,19.7
159,Dental and oral diseases without CC/MCC,0.6374,19.3,16.1
163,Major chest procedures with MCC,2.8905,45.2,37.7
164,Major chest procedures with CC,0.8548,23.6,19.7
165,Major chest procedures without CC/MCC,0.8548,23.6,19.7
166,Other respiratory system O.R. procedures with MCC,2.3481,40.0,33.3
167,Other respiratory system O.R. procedures with CC,1.4259,29.1,24.3
168,Other respiratory system O.R. procedures without CC/MCC,1.4259,29.1,24.3
175,Pulmonary embolism with MCC or acute cor pulmonale,0.7247,20.6,17.2
176,Pulmonary embolism without MCC,0.7247,20.6,17.2
177,Respiratory infections and inflammations with MCC,0.8328,21.7,18.0
178,Respiratory infections and inflammations with CC,0.5978,18.6,15.5
179,Respiratory infections and inflammations without CC/MCC,0.5978,18.6,15.5
180,Respiratory neoplasms with MCC,0.8548,23.6,19.7
181,Respiratory neoplasms with CC,0.5193,16.9,14.1
182,Respiratory neoplasms without CC/MCC,0.5193,16.9,14.1
183,Major chest trauma with MCC,0.6374,19.3,16.1
184,Major chest trauma with CC,0.6374,19.3,16.1
