"TABLE 11.--- MS-LTC-DRGS, RELATIVE WEIGHTS, GEOMETRIC AVERAGE LENGTH OF STAY, SHORT-STAY OUTLIER (SSO) THRESHOLD, AND “IPPS COMPARABLE THRESHOLD” FOR DISCHARGES OCCURRING FROM OCTOBER 1, 2016 THROUGH SEPTEMBER 30, 2017 UNDER THE LTCH PPS
(as corrected in CMS-1655-CN issued October 2016)"						
MS-LTC-DRG	MS-LTC-DRG Title	FY 2015 LTCH Cases1	Relative Weight	Geometric Average Length of Stay	Short-Stay Outlier (SSO) Threshold2	IPPS Comparable Threshold3
1	Heart transplant or implant of heart assist system w MCC	0	0	0.0	0.0	0.0
2	Heart transplant or implant of heart assist system w/o MCC	0	0	0.0	0.0	0.0
3	"ECMO or trach w MV >96 hrs or PDX exc face, mouth & neck w maj O.R."	295	4.0088	59.5	49.6	49.6
4	"Trach w MV >96 hrs or PDX exc face, mouth & neck w/o maj O.R."	"1,745"	2.9063	44.3	36.9	36.9
5	Liver transplant w MCC or intestinal transplant	0	0	0.0	0.0	0.0
6	Liver transplant w/o MCC	0	0	0.0	0.0	0.0
7	Lung transplant	0	0	0.0	0.0	0.0
8	Simultaneous pancreas/kidney transplant	0	0	0.0	0.0	0.0
10	Pancreas transplant	0	0	0.0	0.0	0.0
11	"Tracheostomy for face,mouth & neck diagnoses w MCC"	1	1.8964	40.0	33.3	22.1
12	"Tracheostomy for face,mouth & neck diagnoses w CC"	0	0.6798	20.5	17.1	14.8
13	"Tracheostomy for face,mouth & neck diagnoses w/o CC/MCC"	0	0.5008	16.2	13.5	10.2
14	Allogeneic bone marrow transplant	0	0.8613	23.1	19.3	19.3
16	Autologous bone marrow transplant w CC/MCC	0	0.8613	23.1	19.3	19.3
17	Autologous bone marrow transplant w/o CC/MCC	0	0.8613	23.1	19.3	19.3
20	Intracranial vascular procedures w PDX hemorrhage w MCC	0	0.7416	22.3	18.6	18.6
21	Intracranial vascular procedures w PDX hemorrhage w CC	0	0.4635	19.2	16.0	16.0
22	Intracranial vascular procedures w PDX hemorrhage w/o CC/MCC	0	0.4635	19.2	16.0	13.0
23	Cranio w major dev impl/acute complex CNS PDX w MCC or chemo implant	0	1.8964	40.0	33.3	18.2
24	Cranio w major dev impl/acute complex CNS PDX w/o MCC	0	1.8964	40.0	33.3	9.1
25	Craniotomy & endovascular intracranial procedures w MCC	0	1.8964	40.0	33.3	14.8
26	Craniotomy & endovascular intracranial procedures w CC	1	1.8964	40.0	33.3	9.5
27	Craniotomy & endovascular intracranial procedures w/o CC/MCC	0	1.8964	40.0	33.3	4.6
28	Spinal procedures w MCC	1	1.1287	28.5	23.8	19.1
29	Spinal procedures w CC or spinal neurostimulators	0	1.1287	28.5	23.8	10.6
30	Spinal procedures w/o CC/MCC	0	0.8613	23.1	19.3	5.3
31	Ventricular shunt procedures w MCC	2	1.8964	40.0	33.3	17.5
32	Ventricular shunt procedures w CC	0	0.8613	23.1	19.3	7.5
33	Ventricular shunt procedures w/o CC/MCC	0	0.8613	23.1	19.3	3.6
34	Carotid artery stent procedure w MCC	0	2.0707	38.4	32.0	12.5
35	Carotid artery stent procedure w CC	0	2.0707	38.4	32.0	5.2
36	Carotid artery stent procedure w/o CC/MCC	0	2.0707	38.4	32.0	2.1
37	Extracranial procedures w MCC	7	1.8964	40.0	33.3	13.0
38	Extracranial procedures w CC	2	1.8964	40.0	33.3	5.0
39	Extracranial procedures w/o CC/MCC	0	0.6798	20.5	17.1	2.1
40	Periph/cranial nerve & other nerv syst proc w MCC	65	1.4098	34.2	28.5	16.9
41	Periph/cranial nerve & other nerv syst proc w CC or periph neurostim	4	1.1287	28.5	23.8	9.2
42	Periph/cranial nerve & other nerv syst proc w/o CC/MCC	1	1.1287	28.5	23.8	5.1
52	Spinal disorders & injuries w CC/MCC	30	0.9953	40.5	33.8	9.4
53	Spinal disorders & injuries w/o CC/MCC	1	0.5008	16.2	13.5	5.4
54	Nervous system neoplasms w MCC	3	0.6798	20.5	17.1	8.4
55	Nervous system neoplasms w/o MCC	0	0.5008	16.2	13.5	6.4
56	Degenerative nervous system disorders w MCC	421	0.8514	25.3	21.1	11.4
57	Degenerative nervous system disorders w/o MCC	181	0.6553	22.6	18.8	7.8
58	Multiple sclerosis & cerebellar ataxia w MCC	2	1.1287	28.5	23.8	10.4
59	Multiple sclerosis & cerebellar ataxia w CC	0	0.8514	25.3	21.1	7.0
60	Multiple sclerosis & cerebellar ataxia w/o CC/MCC	0	0.6553	22.6	18.8	5.5
61	Acute ischemic stroke w use of thrombolytic agent w MCC	0	0.9104	23.5	19.6	11.2
62	Acute ischemic stroke w use of thrombolytic agent w CC	0	0.7052	21.3	17.8	6.6
63	Acute ischemic stroke w use of thrombolytic agent w/o CC/MCC	0	0.6798	20.5	17.1	4.5
64	Intracranial hemorrhage or cerebral infarction w MCC	54	0.7416	22.3	18.6	10.0
65	Intracranial hemorrhage or cerebral infarction w CC or tPA in 24 hrs	28	0.4635	19.2	16.0	6.1
66	Intracranial hemorrhage or cerebral infarction w/o CC/MCC	4	0.4635	19.2	16.0	4.1
67	Nonspecific cva & precerebral occlusion w/o infarct w MCC	1	1.1287	28.5	23.8	7.4
68	Nonspecific cva & precerebral occlusion w/o infarct w/o MCC	0	0.6798	20.5	17.1	4.4
69	Transient ischemia	0	0.5008	16.2	13.5	3.8
70	Nonspecific cerebrovascular disorders w MCC	87	0.9104	23.5	19.6	10.1
71	Nonspecific cerebrovascular disorders w CC	29	0.7052	21.3	17.8	7.0
72	Nonspecific cerebrovascular disorders w/o CC/MCC	1	0.6798	20.5	17.1	4.6
73	Cranial & peripheral nerve disorders w MCC	46	1.0952	26.1	21.8	7.9
74	Cranial & peripheral nerve disorders w/o MCC	10	0.8613	23.1	19.3	5.8
75	Viral meningitis w CC/MCC	12	0.5008	16.2	13.5	10.4
