"TABLE 11.—  MS-LTC-DRGS, RELATIVE WEIGHTS, GEOMETRIC AVERAGE LENGTH OF STAY, SHORT-STAY OUTLIER (SSO) THRESHOLD FOR DISCHARGES OCCURRING FROM OCTOBER 1, 2018 THROUGH SEPTEMBER 30, 2019 UNDER THE LTCH PPS - Correction"					
MS-LTC-DRG	MS-LTC-DRG Title	FY 2017 LTCH Cases	Relative Weight	Geometric Average Length of Stay1	Short-Stay Outlier (SSO) Threshold2
1	Heart transplant or implant of heart assist system w MCC	0	0.0000	0	0
2	Heart transplant or implant of heart assist system w/o MCC	0	0.0000	0	0
3	"ECMO or trach w MV >96 hrs or PDX exc face, mouth & neck w maj O.R."	346	3.7112	58.4	48.7
4	"Trach w MV >96 hrs or PDX exc face, mouth & neck w/o maj O.R."	"1,596"	2.8203	44.6	37.2
5	Liver transplant w MCC or intestinal transplant	0	0.0000	0	0
6	Liver transplant w/o MCC	0	0.0000	0	0
7	Lung transplant	0	0.0000	0	0
8	Simultaneous pancreas/kidney transplant	0	0.0000	0	0
10	Pancreas transplant	0	0.0000	0	0
11	"Tracheostomy for face,mouth & neck diagnoses or laryngectomy w MCC"	1	1.7328	37.2	31
12*	"Tracheostomy for face,mouth & neck diagnoses or laryngectomy w CC"	0	0.6090	19.1	15.9
13*	"Tracheostomy for face,mouth & neck diagnoses or laryngectomy w/o CC/MCC"	0	0.6090	19.1	15.9
14*	Allogeneic bone marrow transplant	0	1.0772	26.3	21.9
16*	Autologous bone marrow transplant  w CC/MCC or T-cell immunotherapy	0	1.0772	26.3	21.9
17*	Autologous bone marrow transplant w/o CC/MCC	0	1.0772	26.3	21.9
20*	Intracranial vascular procedures w PDX hemorrhage w MCC	0	0.8806	23.5	19.6
21*	Intracranial vascular procedures w PDX hemorrhage w CC	0	0.6090	19.1	15.9
22*	Intracranial vascular procedures w PDX hemorrhage w/o CC/MCC	0	0.4545	15.4	12.8
