"TABLE 11.—  MS-LTC-DRGS, RELATIVE WEIGHTS, GEOMETRIC AVERAGE LENGTH OF STAY, SHORT-STAY OUTLIER (SSO) THRESHOLD FOR DISCHARGES OCCURRING FROM OCTOBER 1, 2019 THROUGH SEPTEMBER 30, 2020 UNDER THE LTCH PPS"					
MS-LTC-DRG	MS-LTC-DRG Title	FY 2018 LTCH Cases	Relative Weight	Geometric Average Length of Stay1	Short-Stay Outlier (SSO) Threshold2
1	Heart transplant or implant of heart assist system w MCC	0	0.0000	0.0	0.0
2	Heart transplant or implant of heart assist system w/o MCC	0	0.0000	0.0	0.0
3	"ECMO or trach w MV >96 hrs or PDX exc face, mouth & neck w maj O.R."	333	3.8102	55.9	46.6
4	"Trach w MV >96 hrs or PDX exc face, mouth & neck w/o maj O.R."	"1,551"	2.8150	44.4	37.0
5	Liver transplant w MCC or intestinal transplant	0	0.0000	0.0	0.0
6	Liver transplant w/o MCC	0	0.0000	0.0	0.0
7	Lung transplant	0	0.0000	0.0	0.0
8	Simultaneous pancreas/kidney transplant	0	0.0000	0.0	0.0
10	Pancreas transplant	0	0.0000	0.0	0.0
11	"Tracheostomy for face, mouth & neck diagnoses or laryngectomy w MCC"	0	0.4808	15.8	13.2
12	"Tracheostomy for face, mouth & neck diagnoses or laryngectomy w CC"	0	0.4808	15.8	13.2
13	"Tracheostomy for face, mouth & neck diagnoses or laryngectomy w/o CC/MCC"	0	0.4808	15.8	13.2
14	Allogeneic bone marrow transplant	0	0.6064	18.6	15.5
16	Autologous bone marrow transplant w CC/MCC or T-cell immunotherapy	0	0.6064	18.6	15.5
17	Autologous bone marrow transplant w/o CC/MCC	0	0.6064	18.6	15.5
20	Intracranial vascular procedures w PDX hemorrhage w MCC	0	0.8779	22.4	18.7
21	Intracranial vascular procedures w PDX hemorrhage w CC	0	0.6064	18.6	15.5
22	Intracranial vascular procedures w PDX hemorrhage w/o CC/MCC	0	0.4808	15.8	13.2
23	Craniotomy w major device implant or acute complex CNS PDX w MCC or chemotherapy implant or epilepsy w neurostimulator	2	1.5478	33.6	28.0
24	Cranio w major dev impl/acute complex CNS PDX w/o MCC	0	0.4808	15.8	13.2
25	Craniotomy & endovascular intracranial procedures w MCC	2	1.0554	26.2	21.8
26	Craniotomy & endovascular intracranial procedures w CC	0	0.4808	15.8	13.2
27	Craniotomy & endovascular intracranial procedures w/o CC/MCC	0	0.4808	15.8	13.2
28	Spinal procedures w MCC	1	1.0554	26.2	21.8
29	Spinal procedures w CC or spinal neurostimulators	0	0.6064	18.6	15.5
30	Spinal procedures w/o CC/MCC	0	0.6064	18.6	15.5
31	Ventricular shunt procedures w MCC	2	1.5478	33.6	28.0
32	Ventricular shunt procedures w CC	0	0.6064	18.6	15.5
33	Ventricular shunt procedures w/o CC/MCC	0	0.6064	18.6	15.5
34	Carotid artery stent procedure w MCC	0	1.7608	39.5	32.9
35	Carotid artery stent procedure w CC	0	1.7608	39.5	32.9
36	Carotid artery stent procedure w/o CC/MCC	0	1.7608	39.5	32.9
37	Extracranial procedures w MCC	2	1.5478	33.6	28.0
38	Extracranial procedures w CC	0	1.5478	33.6	28.0
39	Extracranial procedures w/o CC/MCC	0	1.5478	33.6	28.0
40	Periph/cranial nerve & other nerv syst proc w MCC	79	1.6303	35.7	29.8
41	Periph/cranial nerve & other nerv syst proc w CC or periph neurostim	3	0.6064	18.6	15.5
42	Periph/cranial nerve & other nerv syst proc w/o CC/MCC	1	0.6064	18.6	15.5
52	Spinal disorders & injuries w CC/MCC	45	1.1249	37.9	31.6
53	Spinal disorders & injuries w/o CC/MCC	0	1.1249	37.9	31.6
54	Nervous system neoplasms w MCC	14	1.5478	33.6	28.0
55	Nervous system neoplasms w/o MCC	6	1.5478	33.6	28.0
56	Degenerative nervous system disorders w MCC	567	0.8732	25.0	20.8
57	Degenerative nervous system disorders w/o MCC	328	0.6673	22.4	18.7
58	Multiple sclerosis & cerebellar ataxia w MCC	6	0.7922	21.8	18.2
59	Multiple sclerosis & cerebellar ataxia w CC	1	0.6064	18.6	15.5
60	Multiple sclerosis & cerebellar ataxia w/o CC/MCC	0	0.6064	18.6	15.5
61	"Ischemic stroke, precerebral occlusion or transient ischemia w thrombolytic agent w MCC"	0	0.8629	23.0	19.2
62	"Ischemic stroke, precerebral occlusion or transient ischemia w thrombolytic agent w CC"	0	0.5981	19.4	16.2
63	"Ischemic stroke, precerebral occlusion or transient ischemia w thrombolytic agent w/o CC/MCC"	0	0.4808	15.8	13.2
64	Intracranial hemorrhage or cerebral infarction w MCC	84	0.8779	22.4	18.7
65	Intracranial hemorrhage or cerebral infarction w CC or tPA in 24 hrs	24	0.6064	18.6	15.5
66	Intracranial hemorrhage or cerebral infarction w/o CC/MCC	2	0.4808	15.8	13.2
67	Nonspecific cva & precerebral occlusion w/o infarct w MCC	0	0.5981	19.4	16.2
68	Nonspecific cva & precerebral occlusion w/o infarct w/o MCC	0	0.4808	15.8	13.2
69	Transient ischemia w/o thrombolytic	1	0.4808	15.8	13.2
70	Nonspecific cerebrovascular disorders w MCC	162	0.8629	23.0	19.2
71	Nonspecific cerebrovascular disorders w CC	43	0.5981	19.4	16.2
