"TABLE 11.—  MS-LTC-DRGS, RELATIVE WEIGHTS, GEOMETRIC AVERAGE LENGTH OF STAY, SHORT-STAY OUTLIER (SSO) THRESHOLD FOR DISCHARGES OCCURRING FROM OCTOBER 1, 2021 THROUGH SEPTEMBER 30, 2022 UNDER THE LTCH PPS"					
MS-LTC-DRG	MS-LTC-DRG Title	FY 2019 LTCH Cases1	Relative Weight	Geometric Average Length of Stay	Short-Stay Outlier (SSO) Threshold2
001	Heart transplant or implant of heart assist system with MCC	0	0	0	0
002	Heart transplant or implant of heart assist system without MCC	0	0	0	0
003	"ECMO or tracheostomy with MV >96 hours or principal diagnosis except face, mouth and neck with major O.R. procedures"	228	3.6814	56.2	46.8
004	"Tracheostomy with MV >96 hours or principal diagnosis except face, mouth and neck without major O.R. procedures"	"1,402"	2.7971	43.5	36.3
005	Liver transplant with MCC or intestinal transplant	0	0	0	0
006	Liver transplant without MCC	0	0	0	0
007	Lung transplant	0	0	0	0
008	Simultaneous pancreas and kidney transplant	0	0	0	0
010	Pancreas transplant	0	0	0	0
011	"Tracheostomy for face, mouth and neck diagnoses or laryngectomy with MCC"	0	0.6374	19.3	16.1
012	"Tracheostomy for face, mouth and neck diagnoses or laryngectomy with CC"	0	0.6374	19.3	16.1
013	"Tracheostomy for face, mouth and neck diagnoses or laryngectomy without CC/MCC"	0	0.6374	19.3	16.1
014	Allogeneic bone marrow transplant	0	0.5193	16.9	14.1
016	Autologous bone marrow transplant with CC/MCC	0	0.5193	16.9	14.1
017	Autologous bone marrow transplant without CC/MCC	0	0.5193	16.9	14.1
018	Chimeric antigen receptor (CAR) T-cell and other immunotherapies	0	0.5193	16.9	14.1
019	Simultaneous pancreas and kidney transplant with hemodialysis	0	0	0	0.0
020	Intracranial vascular procedures with principal diagnosis hemorrhage with MCC	0	0.9242	24.9	20.8
021	Intracranial vascular procedures with principal diagnosis hemorrhage with CC	0	0.9242	24.9	20.8
022	Intracranial vascular procedures with principal diagnosis hemorrhage without CC/MCC	0	0.9242	24.9	20.8
023	Craniotomy with major device implant or acute complex CNS principal diagnosis with MCC or chemotherapy implant or epilepsy with neurostimulator	0	0.6374	19.3	16.1
024	Craniotomy with major device implant or acute complex CNS principal diagnosis without MCC	0	0.6374	19.3	16.1
025	Craniotomy and endovascular intracranial procedures with MCC	2	1.7482	36.8	30.7
026	Craniotomy and endovascular intracranial procedures with CC	0	0.6374	19.3	16.1
027	Craniotomy and endovascular intracranial procedures without CC/MCC	0	0.6374	19.3	16.1
028	Spinal procedures with MCC	4	1.7482	36.8	30.7
029	Spinal procedures with CC or spinal neurostimulators	0	0.9227	24.8	20.7
030	Spinal procedures without CC/MCC	0	0.9227	24.8	20.7
