"TABLE 11.—  MS-LTC-DRGS, RELATIVE WEIGHTS, GEOMETRIC AVERAGE LENGTH OF STAY, SHORT-STAY OUTLIER (SSO) THRESHOLD FOR DISCHARGES OCCURRING FROM OCTOBER 1, 2022 THROUGH SEPTEMBER 30, 2023 UNDER THE LTCH PPS"					
MS-LTC-DRG	MS-LTC-DRG Title	FY 2021 LTCH Cases1	Relative Weight2	Geometric Average Length of Stay2	Short-Stay Outlier (SSO) Threshold3
001	Heart transplant or implant of heart assist system with MCC	0	0.0000	0.0	0.0
002	Heart transplant or implant of heart assist system without MCC	0	0.0000	0.0	0.0
003	"ECMO or tracheostomy with MV >96 hours or principal diagnosis except face, mouth and neck with major O.R. procedures"	233	3.7050	57.5	47.9
004	"Tracheostomy with MV >96 hours or principal diagnosis except face, mouth and neck without major O.R. procedures"	"1,049"	2.9260	45.5	37.9
005	Liver transplant with MCC or intestinal transplant	0	0.0000	0.0	0.0
006	Liver transplant without MCC	0	0.0000	0.0	0.0
007	Lung transplant	0	0.0000	0.0	0.0
008	Simultaneous pancreas and kidney transplant	0	0.0000	0.0	0.0
010	Pancreas transplant	0	0.0000	0.0	0.0
011	"Tracheostomy for face, mouth and neck diagnoses or laryngectomy with MCC"	1	1.3482	31.9	26.6
012	"Tracheostomy for face, mouth and neck diagnoses or laryngectomy with CC"	0	0.7813	21.1	17.6
013	"Tracheostomy for face, mouth and neck diagnoses or laryngectomy without CC/MCC"	0	0.6366	19.3	16.1
014	Allogeneic bone marrow transplant	0	0.6366	19.3	16.1
016	Autologous bone marrow transplant with CC/MCC	0	0.6366	19.3	16.1
017	Autologous bone marrow transplant without CC/MCC	0	0.6366	19.3	16.1
018	Chimeric antigen receptor (CAR) T-cell and other immunotherapies	0	0.6366	19.3	16.1
019	Simultaneous pancreas and kidney transplant with hemodialysis	0	0.0000	0.0	0.0
020	Intracranial vascular procedures with principal diagnosis hemorrhage with MCC	0	0.8307	22.9	19.1
021	Intracranial vascular procedures with principal diagnosis hemorrhage with CC	0	0.4651	15.7	13.1
