"TABLE 11.--- MS-LTC-DRGS, RELATIVE WEIGHTS, GEOMETRIC AVERAGE LENGTH OF STAY, SHORT-STAY                               OUTLIER (SSO) THRESHOLD, AND “IPPS COMPARABLE THRESHOLD” FOR DISCHARGES OCCURRING FROM                             OCTOBER 1, 2015 THROUGH SEPTEMBER 30, 2016 UNDER THE LTCH PPS - CORRECTED"						
MS-LTC-DRG	MS-LTC-DRG Title	FY 2014 LTCH Cases1	 Relative Weight	Geometric Average Length of Stay	 Short-Stay Outlier (SSO) Threshold2	IPPS Comparable Threshold3
1	Heart transplant or implant of heart assist system w MCC	0	0.0000	0.0	0.0	0.0
2	Heart transplant or implant of heart assist system w/o MCC	0	0.0000	0.0	0.0	0.0
3	"ECMO or trach w MV 96+ hrs or PDX exc face, mouth & neck w maj O.R."	298	3.8520	58.9	49.1	49.1
4	"Trach w MV 96+ hrs or PDX exc face, mouth & neck w/o maj O.R."	"1,735"	2.7765	42.4	35.3	35.3
5	Liver transplant w MCC or intestinal transplant	0	0.0000	0.0	0.0	0.0
6	Liver transplant w/o MCC	0	0.0000	0.0	0.0	0.0
7	Lung transplant	0	0.0000	0.0	0.0	0.0
8	Simultaneous pancreas/kidney transplant	0	0.0000	0.0	0.0	0.0
10	Pancreas transplant	0	0.0000	0.0	0.0	0.0
11	"Tracheostomy for face,mouth & neck diagnoses w MCC"	0	1.0252	24.0	20.0	20.0
12	"Tracheostomy for face,mouth & neck diagnoses w CC"	0	0.6711	19.8	16.5	14.5
13	"Tracheostomy for face,mouth & neck diagnoses w/o CC/MCC"	0	0.6711	19.8	16.5	9.9
14	Allogeneic bone marrow transplant	0	0.6711	19.8	16.5	16.5
16	Autologous bone marrow transplant w CC/MCC	0	0.6711	19.8	16.5	16.5
17	Autologous bone marrow transplant w/o CC/MCC	0	0.6711	19.8	16.5	16.5
20	Intracranial vascular procedures w PDX hemorrhage w MCC	0	0.8429	23.5	19.6	19.6
21	Intracranial vascular procedures w PDX hemorrhage w CC	0	0.6711	19.8	16.5	16.5
22	Intracranial vascular procedures w PDX hemorrhage w/o CC/MCC	0	0.5268	17.5	14.6	14.1
23	Cranio w major dev impl/acute complex CNS PDX w MCC or chemo implant	1	1.1274	26.4	22.0	18.9
24	Cranio w major dev impl/acute complex CNS PDX w/o MCC	0	1.1274	26.4	22.0	9.9
25	Craniotomy & endovascular intracranial procedures w MCC	3	1.6769	34.8	29.0	15.0
26	Craniotomy & endovascular intracranial procedures w CC	0	1.6769	34.8	29.0	9.8
27	Craniotomy & endovascular intracranial procedures w/o CC/MCC	0	1.6769	34.8	29.0	4.9
28	Spinal procedures w MCC	5	1.6769	34.8	29.0	18.9
29	Spinal procedures w CC or spinal neurostimulators	0	0.8393	22.5	18.8	10.1
30	Spinal procedures w/o CC/MCC	0	0.6711	19.8	16.5	5.2
31	Ventricular shunt procedures w MCC	2	1.6769	34.8	29.0	17.2
32	Ventricular shunt procedures w CC	0	0.6711	19.8	16.5	7.5
33	Ventricular shunt procedures w/o CC/MCC	0	0.6711	19.8	16.5	3.7
34	Carotid artery stent procedure w MCC	0	1.9707	41.4	34.5	12.4
35	Carotid artery stent procedure w CC	0	1.9707	41.4	34.5	5.0
36	Carotid artery stent procedure w/o CC/MCC	0	1.9707	41.4	34.5	2.0
37	Extracranial procedures w MCC	5	1.1274	26.4	22.0	13.0
38	Extracranial procedures w CC	1	1.1274	26.4	22.0	5.1
39	Extracranial procedures w/o CC/MCC	0	0.6711	19.8	16.5	2.2
40	Periph/cranial nerve & other nerv syst proc w MCC	59	1.6098	33.9	28.3	17.6
41	Periph/cranial nerve & other nerv syst proc w CC or periph neurostim	8	0.8393	22.5	18.8	9.6
42	Periph/cranial nerve & other nerv syst proc w/o CC/MCC	0	0.6711	19.8	16.5	5.5
52	Spinal disorders & injuries w CC/MCC	28	1.1578	41.9	34.9	8.7
53	Spinal disorders & injuries w/o CC/MCC	0	0.6711	19.8	16.5	5.4
54	Nervous system neoplasms w MCC	9	0.6711	19.8	16.5	8.6
55	Nervous system neoplasms w/o MCC*	2	0.6711	19.8	16.5	6.4
56	Degenerative nervous system disorders w MCC	433	0.8688	25.2	21.0	11.3
